,"Range Name","Did","Buying Rate","Selling Rate","Currency","Test Number","Minimum Call Duration","perclilimit","Max Daily Minutes","IVR","Routing"
,"Ivory Coast P2","22522782845","0.14500","0.10000","EURO","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Ivory Coast P2","22522782837","0.14500","0.10000","EURO","1","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Ivory Coast P2","22522782835","0.14500","0.10000","EURO","0","","","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Ivory Coast P2","22522782811","0.14500","0.10000","EURO","0","","","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Ivory Coast P2","22522782797","0.14500","0.10000","EURO","0","","","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Sierra Leone AT","23277977018","0.18000","0.13000","USD","0","","6","10000","1#-Segment.wav",""
,"Mauritania AT","22236462076","0.19000","0.14000","USD","0","","6","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Zambia AT","260973814199","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"Benin AT","22995798154","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Benin AT","22995640363","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Benin AT","22995422275","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Benin AT","22995384092","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Benin AT","22994979710","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Burkina Faso AT","2267659359","0.15000","0.11000","USD","0","","3","30000","1#-Segment.wav",""
,"Maldives AT","9607642757","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"Guatemala AT","50234094767","0.07500","0.05000","USD","0","","10","3000","1#-Segment.wav",""
,"Burundi AT","25768117340","0.21000","0.15000","USD","0","","6","30000","1#-Segment.wav",""
,"Zimbabwe AT","263783387757","0.19000","0.14000","USD","0","","20","10000","1#-Segment.wav",""
,"Haiti AT","50931418236","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Jamaica AT","18768572308","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18765919111","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
