Range Name,DID
Algeria AT218,213541970625
Algeria AT218,213541971207
Algeria AT218,213541982872
Algeria AT218,213541988273
Algeria AT219,213550015964
Algeria AT219,213550029624
Algeria AT219,213550033515
Algeria AT219,213550034078
Algeria AT219,213550034534
Algeria AT219,213550039435
Algeria AT219,213550043173
Algeria AT219,213550044905
Algeria AT219,213550044955
Algeria AT219,213550045923
Algeria AT219,213550053450
Algeria AT219,213550058591
Algeria AT219,213550059841
Algeria AT219,213550068976
Algeria AT219,213550069884
Algeria AT219,213550072440
Algeria AT219,213550079241
Algeria AT219,213550083194
Algeria AT219,213550087763
Algeria AT219,213550096197
Algeria AT22,213698602271
Algeria AT22,213698604496
Algeria AT22,213698617108
Algeria AT22,213698617512
Algeria AT22,213698624204
Algeria AT22,213698625692
Algeria AT22,213698639092
Algeria AT22,213698641208
Algeria AT22,213698650642
Algeria AT22,213698657833
Algeria AT22,213698660919
Algeria AT22,213698663636
Algeria AT22,213698666434
Algeria AT22,213698671553
Algeria AT22,213698672023
Algeria AT22,213698676991
Algeria AT22,213698678716
Algeria AT22,213698693402
Algeria AT22,213698694293
Algeria AT22,213698695679
Algeria AT220,213553002588
Algeria AT220,213553003444
Algeria AT220,213553010802
Algeria AT220,213553011186
Algeria AT220,213553011895
Algeria AT220,213553019612
Algeria AT220,213553020020
Algeria AT220,213553024162
Algeria AT220,213553026635
Algeria AT220,213553028829
Algeria AT220,213553032719
Algeria AT220,213553040622
Algeria AT220,213553041738
Algeria AT220,213553042265
Algeria AT220,213553060969
Algeria AT220,213553062587
Algeria AT220,213553073609
Algeria AT220,213553087207
Algeria AT220,213553093788
Algeria AT220,213553099501
Algeria AT221,213561705068
Algeria AT221,213561705430
Algeria AT221,213561708050
Algeria AT221,213561721885
Algeria AT221,213561724537
Algeria AT221,213561738495
Algeria AT221,213561739459
Algeria AT221,213561739518
Algeria AT221,213561741197
Algeria AT221,213561748882
Algeria AT221,213561750548
Algeria AT221,213561755235
Algeria AT221,213561755927
Algeria AT221,213561780817
Algeria AT221,213561781565
Algeria AT221,213561782084
Algeria AT221,213561787036
Algeria AT221,213561792251
Algeria AT221,213561796345
Algeria AT221,213561798711
Algeria AT222,213500460574
Algeria AT222,213500460895
Algeria AT222,213500461086
Algeria AT222,213500461336
Algeria AT222,213500461665
Algeria AT222,213500462251
Algeria AT222,213500463193
Algeria AT222,213500463361
Algeria AT222,213500464218
Algeria AT222,213500465517
Algeria AT222,213500465707
Algeria AT222,213500466216
Algeria AT222,213500466362
Algeria AT222,213500466549
Algeria AT222,213500466602
Algeria AT222,213500466947
Algeria AT222,213500466956
Algeria AT222,213500467407
Algeria AT222,213500468647
Algeria AT222,213500469374
Algeria AT223,213504030074
Algeria AT223,213504030153
Algeria AT223,213504030399
Algeria AT223,213504030574
Algeria AT223,213504031634
Algeria AT223,213504031762
Algeria AT223,213504033428
Algeria AT223,213504033673
Algeria AT223,213504034976
Algeria AT223,213504035357
Algeria AT223,213504036636
Algeria AT223,213504037083
Algeria AT223,213504037505
Algeria AT223,213504037908
Algeria AT223,213504037961
Algeria AT223,213504038448
Algeria AT223,213504038993
Algeria AT223,213504039132
Algeria AT223,213504039887
Algeria AT224,213506870334
Algeria AT224,213506871207
Algeria AT224,213506871483
