Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title
Ecuador S7,MichaelBigl,0.05,0.04,980,1180,0,0.045,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S103,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S115,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S113,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S110,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S114,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S112,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S101,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S102,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S104,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S108,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S109,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S107,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S106,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S105,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
Gambia S111,MichaelBigl,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/7,Monthly 30/45
