Range Name,DID
Algeria S28,213555008985
Algeria S28,213555009115
Algeria S28,213555009070
Algeria S28,213555009118
Algeria S28,213555008956
Algeria S28,213555009020
Algeria S28,213555009004
Algeria S28,213555009028
Algeria S28,213555008959
Algeria S28,213555009117
Madagascar S16,261341372366
Madagascar S16,261341372419
Madagascar S16,261341372395
Madagascar S16,261341372406
Madagascar S16,261341372443
Madagascar S16,261341372303
Madagascar S16,261341372365
Madagascar S16,261341372440
Madagascar S16,261341372454
Madagascar S16,261341372407
Liberia S37,231886123634
Liberia S37,231886123719
Liberia S37,231886123668
Liberia S37,231886123575
Liberia S37,231886123617
Liberia S37,231886123582
Liberia S37,231886123753
Liberia S37,231886123708
Liberia S37,231886123693
Liberia S37,231886123718
Ecuador S29,593991242789
Ecuador S29,593991242876
Ecuador S29,593991242953
Ecuador S29,593991242901
Ecuador S29,593991242782
Ecuador S29,593991242926
Ecuador S29,593991242845
Ecuador S29,593991242792
Ecuador S29,593991242930
Ecuador S29,593991242878
Ecuador S29,593991242796
Ecuador S29,593991242833
Ecuador S29,593991242867
Ecuador S29,593991242894
Ecuador S29,593991242832
Ecuador S29,593991242777
Ecuador S29,593991242804
Ecuador S29,593991242790
Ecuador S29,593991242902
Ecuador S29,593991242780
Guinea S15,224622457619
Guinea S15,224622457703
Guinea S15,224622457568
Guinea S15,224622457660
Guinea S15,224622457586
Guinea S15,224622457684
Guinea S15,224622457650
Guinea S15,224622457626
Guinea S15,224622457616
Guinea S15,224622457705
Zimbabwe S31,263782009359
Zimbabwe S31,263782009315
Zimbabwe S31,263782009407
Zimbabwe S31,263782009400
Zimbabwe S31,263782009324
Zimbabwe S31,263782009290
Zimbabwe S31,263782009411
Zimbabwe S31,263782009238
Zimbabwe S31,263782009284
Zimbabwe S31,263782009306
Zimbabwe S31,263782009239
Zimbabwe S31,263782009269
Zimbabwe S31,263782009321
Zimbabwe S31,263782009413
Zimbabwe S31,263782009335
Zimbabwe S31,263782009310
Zimbabwe S31,263782009406
Zimbabwe S31,263782009395
Zimbabwe S31,263782009350
Zimbabwe S31,263782009418
