Name,Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title,Currency
Ascension Mobile,Ascension AV6,AVALON,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ascension Proper,Ascension Proper AV1,AVALON,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad Millicom,Chad AV5,AVALON,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad Proper,Chad Proper AV1,AVALON,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad Zain,Chad  AV6,AVALON,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cuba i5,Cuba AV7,AVALON,0.28,0.20,980,1180,0,0.24,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
East TimorMobile,East Timor AV1,AVALON,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
East TimorProper,East Timor Proper AV1,AVALON,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Falklands Mobile,Falklands AV1,AVALON,0.20,0.15,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Falklands Proper,Falklands Proper AV1,AVALON,0.20,0.15,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guinea MTN,Guinea AV1,AVALON,0.17,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guinea Orange,Guinea AV2,AVALON,0.17,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guinea Proper,Guinea Proper AV1,AVALON,0.17,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guinea Sotelgui,Guinea AV3,AVALON,0.17,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Kiribati Mob i1,Kiribati AV6,AVALON,0.20,0.15,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
KiribatiProperi1,Kiribati Proper AV1,AVALON,0.20,0.15,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MadagascarOrange,Madagascar AV3,AVALON,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MadagascarProper,Madagascar Proper AV1,AVALON,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MadagascarTelma,Madagascar AV4,AVALON,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MadagascarZain,Madagascar AV5,AVALON,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MaldivesDhiraagu,Maldives AV9,AVALON,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MaldivesProper,Maldives Proper AV1,AVALON,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MaldivesWataniya,Maldives AV10,AVALON,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MauritaniaMobile,Mauritania AV1,AVALON,0.14,0.10,980,1180,0,0.12,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
MauritaniaProper,Mauritania Proper AV1,AVALON,0.14,0.10,980,1180,0,0.12,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
NauruProper,Nauru Proper AV1,AVALON,0.22,0.17,980,1180,0,0.19,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sao Tome Mobile,Sao Tome AV7,AVALON,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sao Tome Proper,Sao Tome Proper AV1,AVALON,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Senegal Orange,Senegal AV4,AVALON,0.14,0.10,980,1180,0,0.12,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Senegal Tigo,Senegal AV5,AVALON,0.14,0.10,980,1180,0,0.12,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
StHelena Mobile,StHelena AV5,AVALON,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia Orange,Tunisia AV4,AVALON,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia Proper,Tunisia Proper AV1,AVALON,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Tunisia Tunicell,Tunisia AV5,AVALON,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Vanuatu Mobile,Vanuatu AV1,AVALON,0.20,0.15,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Vanuatu Proper,Vanuatu Proper AV1,AVALON,0.20,0.15,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
