Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title,Currency
Afghanistan D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Albania D1,Dragon Telecom,0.14,0.10,980,1180,0,0.12,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Algeria D1,Dragon Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Anguilla D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Antigua D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ascension Island D1,Dragon Telecom,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Azerbijan D1,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Barbados D1,Dragon Telecom,0.10,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Belarus D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Benin D1,Dragon Telecom,0.10,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Bolivia D1,Dragon Telecom,0.10,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Bosnia D1,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Botswana D1,Dragon Telecom,0.10,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Brazil D1,Dragon Telecom,0.05,0.04,980,1180,0,0.05,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Burkina Faso D1,Dragon Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Burundi D1,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cameroon D1,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cape Verde D1,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Central African Republic D1,Dragon Telecom,0.15,0.11,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chad D1,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Chile D1,Dragon Telecom,0.08,0.06,980,1180,0,0.07,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Comoros D1,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Congo D1,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cuba D1,Dragon Telecom,0.32,0.22,980,1180,0,0.28,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cuba D2,Dragon Telecom,0.32,0.22,980,1180,0,0.28,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cuba D3,Dragon Telecom,0.32,0.22,980,1180,0,0.28,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Cuba D4,Dragon Telecom,0.32,0.22,980,1180,0,0.28,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Diego Garcia D1,Dragon Telecom,0.26,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Djibouti D1,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Dominica D1,Dragon Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
East Timor D1,Dragon Telecom,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
East Timor D2,Dragon Telecom,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
East Timor D3,Dragon Telecom,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
East Timor D4,Dragon Telecom,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ecuador Porta D1,Dragon Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ecuador Porta D2,Dragon Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ecuador Porta D3,Dragon Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ecuador Porta D4,Dragon Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ecuador Porta D5,Dragon Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ecuador Porta D6,Dragon Telecom,0.09,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ecuador Porta D7,Dragon Telecom,0.00,0.00,980,1180,0,0.00,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
El Salvador Telefonica D1,Dragon Telecom,0.08,0.06,980,1180,0,0.07,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
El Salvador Telefonica D2,Dragon Telecom,0.08,0.06,980,1180,0,0.07,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Equatorial Guinea D1,Dragon Telecom,0.10,0.07,980,1180,0,0.08,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Eritrea D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Eritrea D2,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Eritrea D3,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Ethiopia D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Falkland Islands D1,Dragon Telecom,0.25,0.20,980,1180,0,0.22,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Fiji D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Gabon D1,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Gambia D1,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Gambia D2,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Gambia D3,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Greenland D1,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Greenland D2,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guinea D1,Dragon Telecom,0.00,0.00,980,1180,0,0.00,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Guinea Bissau D1,Dragon Telecom,0.19,0.14,980,1180,0,0.16,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Haiti D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Haiti D2,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
