Range Name,DID
Belarus AT137,375333004256
Belarus AT137,375333004701
Belarus AT137,375333005638
Belarus AT137,375333005825
Belarus AT137,375333006029
Belarus AT137,375333007262
Belarus AT137,375333007655
Belarus AT137,375333007954
Belarus AT137,375333007982
Belarus AT137,375333008827
Belarus AT137,375333009297
Belarus AT137,375333009616
Belarus AT138,375333220070
Belarus AT138,375333220117
Belarus AT138,375333220667
Belarus AT138,375333221727
Belarus AT138,375333222042
Belarus AT138,375333222148
Belarus AT138,375333222261
Belarus AT138,375333222617
Belarus AT138,375333223068
Belarus AT138,375333223112
Belarus AT138,375333223389
Belarus AT138,375333224629
Belarus AT138,375333224671
Belarus AT138,375333225164
Belarus AT138,375333225724
Belarus AT138,375333226248
Belarus AT138,375333226998
Belarus AT138,375333227488
Belarus AT138,375333227548
Belarus AT138,375333227771
Belarus AT139,375333230017
Belarus AT139,375333230251
Belarus AT139,375333231376
Belarus AT139,375333231480
Belarus AT139,375333232015
Belarus AT139,375333232324
Belarus AT139,375333232766
Belarus AT139,375333234426
Belarus AT139,375333234532
Belarus AT139,375333234707
Belarus AT139,375333234828
Belarus AT139,375333234883
Belarus AT139,375333235295
Belarus AT139,375333235378
Belarus AT139,375333235905
Belarus AT139,375333236885
Belarus AT139,375333237779
Belarus AT139,375333238569
Belarus AT139,375333238597
Belarus AT139,375333239526
Belarus AT14,375294100003
Belarus AT14,375294100739
Belarus AT14,375294101124
Belarus AT14,375294101762
Belarus AT14,375294101917
Belarus AT14,375294103981
Belarus AT14,375294103996
Belarus AT14,375294104233
Belarus AT14,375294104653
Belarus AT14,375294104715
Belarus AT14,375294104769
Belarus AT14,375294105140
Belarus AT14,375294105293
Belarus AT14,375294107855
Belarus AT14,375294108304
Belarus AT14,375294108420
Belarus AT14,375294109057
Belarus AT14,375294109258
Belarus AT14,375294109432
Belarus AT14,375294109994
Belarus AT140,375333300474
Belarus AT140,375333300592
Belarus AT140,375333301330
Belarus AT140,375333301484
Belarus AT140,375333301774
Belarus AT140,375333302373
Belarus AT140,375333302412
Belarus AT140,375333302650
Belarus AT140,375333303349
Belarus AT140,375333303670
Belarus AT140,375333303812
Belarus AT140,375333303916
Belarus AT140,375333304444
Belarus AT140,375333306829
Belarus AT140,375333307283
Belarus AT140,375333307583
Belarus AT140,375333308534
Belarus AT140,375333308859
Belarus AT140,375333309458
Belarus AT140,375333309729
Belarus AT141,375333311542
Belarus AT141,375333311876
Belarus AT141,375333311964
Belarus AT141,375333312666
Belarus AT141,375333314573
Belarus AT141,375333314897
Belarus AT141,375333314991
Belarus AT141,375333315025
Belarus AT141,375333315191
Belarus AT141,375333315496
Belarus AT141,375333317074
Belarus AT141,375333317105
Belarus AT141,375333317970
Belarus AT141,375333318017
Belarus AT141,375333318280
Belarus AT141,375333318643
Belarus AT141,375333319160
Belarus AT141,375333319262
Belarus AT141,375333319481
Belarus AT141,375333319780
Belarus AT142,375333320404
Belarus AT142,375333321917
Belarus AT142,375333322448
Belarus AT142,375333323054
Belarus AT142,375333323227
Belarus AT142,375333323368
Belarus AT142,375333324095
Belarus AT142,375333324737
Belarus AT142,375333325110
Belarus AT142,375333325395
Belarus AT142,375333326362
Belarus AT142,375333327609
Belarus AT142,375333328443
Belarus AT142,375333328698
Belarus AT142,375333328919
Belarus AT142,375333329268
Belarus AT142,375333329517
Belarus AT142,375333329606
Belarus AT142,375333329763
Belarus AT142,375333329814
Belarus AT143,375333330101
Belarus AT143,375333330666
Belarus AT143,375333331088
Belarus AT143,375333331183
Belarus AT143,375333332578
Belarus AT143,375333332633
Belarus AT143,375333333224
Belarus AT143,375333333491
Belarus AT143,375333334262
Belarus AT143,375333334475
Belarus AT143,375333334537
Belarus AT143,375333335113
Belarus AT143,375333335216
Belarus AT143,375333336001
Belarus AT143,375333336100
Belarus AT143,375333337929
Belarus AT143,375333338265
Belarus AT143,375333338630
Belarus AT143,375333339324
Belarus AT143,375333339655
Belarus AT144,375333351172
Belarus AT144,375333351704
Belarus AT144,375333353051
Belarus AT144,375333354660
Belarus AT144,375333354919
Belarus AT144,375333355007
Belarus AT144,375333355016
Belarus AT144,375333355326
Belarus AT144,375333355465
Belarus AT144,375333356022
Belarus AT144,375333356161
Belarus AT144,375333356305
Belarus AT144,375333356572
Belarus AT144,375333356856
Belarus AT144,375333357362
Belarus AT144,375333357700
Belarus AT144,375333357738
Belarus AT144,375333358780
Belarus AT144,375333359252
Belarus AT144,375333359429
Belarus AT145,375333360783
Belarus AT145,375333360804
Belarus AT145,375333361800
Belarus AT145,375333362100
Belarus AT145,375333362155
Belarus AT145,375333362538
Belarus AT145,375333363700
Belarus AT145,375333364176
Belarus AT145,375333364892
Belarus AT145,375333365132
Belarus AT145,375333365283
Belarus AT145,375333365571
Belarus AT145,375333365670
Belarus AT145,375333365900
Belarus AT145,375333366367
Belarus AT145,375333367009
Belarus AT145,375333367412
Belarus AT145,375333368624
Belarus AT145,375333368661
Belarus AT145,375333369542
Belarus AT146,375333370280
Belarus AT146,375333370625
Belarus AT146,375333370961
Belarus AT146,375333371407
Belarus AT146,375333371496
Belarus AT146,375333372135
Belarus AT146,375333372197
Belarus AT146,375333372665
Belarus AT146,375333373167
Belarus AT146,375333374995
Belarus AT146,375333375067
Belarus AT146,375333375139
Belarus AT146,375333375580
Belarus AT146,375333375919
Belarus AT146,375333376250
Belarus AT146,375333376344
Belarus AT146,375333378588
Belarus AT146,375333378654
Belarus AT146,375333379138
Belarus AT146,375333379710
Belarus AT147,375333380053
Belarus AT147,375333380492
Belarus AT147,375333380676
Belarus AT147,375333381038
Belarus AT147,375333381620
Belarus AT147,375333382761
Belarus AT147,375333382844
Belarus AT147,375333384937
Belarus AT147,375333385304
Belarus AT147,375333385359
Belarus AT147,375333385527
Belarus AT147,375333386007
Belarus AT147,375333386767
Belarus AT147,375333386934
Belarus AT147,375333387082
Belarus AT147,375333387564
Belarus AT147,375333388007
Belarus AT147,375333388219
Belarus AT147,375333388753
Belarus AT147,375333389594
Belarus AT148,375333391181
Belarus AT148,375333391529
Belarus AT148,375333391848
Belarus AT148,375333392082
Belarus AT148,375333392205
Belarus AT148,375333392804
Belarus AT148,375333393462
Belarus AT148,375333393514
Belarus AT148,375333394210
Belarus AT148,375333394245
Belarus AT148,375333395728
Belarus AT148,375333395961
Belarus AT148,375333397300
Belarus AT148,375333397394
Belarus AT148,375333397442
Belarus AT148,375333397805
Belarus AT148,375333398201
Belarus AT148,375333398473
Belarus AT148,375333399086
Belarus AT148,375333399597
Belarus AT149,375333440346
Belarus AT149,375333440367
Belarus AT149,375333440649
Belarus AT149,375333441986
Belarus AT149,375333442015
Belarus AT149,375333442408
Belarus AT149,375333443432
Belarus AT149,375333444020
Belarus AT149,375333445404
Belarus AT149,375333446049
Belarus AT149,375333446460
Belarus AT149,375333447263
Belarus AT149,375333447602
Belarus AT149,375333447999
Belarus AT149,375333448044
Belarus AT149,375333448051
Belarus AT149,375333448052
Belarus AT149,375333448461
Belarus AT149,375333448697
Belarus AT149,375333449231
Belarus AT15,375294450373
Belarus AT15,375294450521
Belarus AT15,375294450675
Belarus AT15,375294451116
Belarus AT15,375294451222
Belarus AT15,375294451479
Belarus AT15,375294451580
Belarus AT15,375294451912
Belarus AT15,375294453485
Belarus AT15,375294455495
Belarus AT15,375294455969
Belarus AT15,375294456687
Belarus AT15,375294457209
Belarus AT15,375294457400
Belarus AT15,375294457558
Belarus AT15,375294457916
Belarus AT15,375294458153
Belarus AT15,375294458489
Belarus AT15,375294458709
Belarus AT15,375294459077
Belarus AT150,375333540394
Belarus AT150,375333540633
Belarus AT150,375333540980
Belarus AT150,375333541732
Belarus AT150,375333544381
Belarus AT150,375333544625
Belarus AT150,375333544708
Belarus AT150,375333545327
Belarus AT150,375333545806
Belarus AT150,375333546096
Belarus AT150,375333546472
Belarus AT150,375333546718
Belarus AT150,375333547356
Belarus AT150,375333548143
Belarus AT150,375333548821
Belarus AT150,375333548948
Belarus AT150,375333549101
Belarus AT150,375333549532
