Range_Name,DID
Eq Guinea T1,240555661583
South Africa BD1,27310880002
South Africa BD1,27310880003
South Africa BD1,27310880001
South Africa BD1,27310880004
South Africa BD1,27310880005
South Africa BD1,27310880007
South Africa BD1,27310880008
South Africa BD1,27310880006
South Africa BD1,27310880009
South Africa BD1,27310880013
South Africa BD1,27310880012
South Africa BD1,27310880022
South Africa BD1,27310880019
South Africa BD1,27310880015
South Africa BD1,27310880011
South Africa BD1,27310880010
South Africa BD1,27310880017
South Africa BD1,27310880016
South Africa BD1,27310880018
South Africa BD1,27310880023
South Africa BD1,27310880020
Haiti AV2,50933011403
South Africa BD1,27310880014
Haiti AV2,50933011401
South Africa BD1,27310880027
Eq Guinea T1,240555825059
Haiti AV2,50933011404
South Africa BD1,27310880026
South Africa BD1,27310880021
South Africa BD1,27310880024
Haiti AV2,50933011407
Eq Guinea T1,240555662822
South Africa BD1,27310880029
Haiti AV2,50933011402
South Africa BD1,27310880025
Eq Guinea T1,240555510847
Haiti AV2,50933011408
South Africa BD1,27310880028
South Africa BD1,27310880035
Eq Guinea T1,240555658550
Haiti AV2,50933011405
Haiti AV2,50933011406
Seychelles AT1,2482682594
Ascension Islands AT1,247047017
Eq Guinea T1,240555647269
South Africa BD1,27310880032
St. Helena PS2,290610391
St. Helena AT2,2908106
Spain AV1,34902552807
South Africa BD1,27310880034
Haiti AV2,50933011409
Spain AV1,34902552801
St. Helena AT2,2908949
Gabon AT10,2410371678
Spain AV1,34902552806
Seychelles AT1,2482682524
Ascension Island AT1,24777656
Haiti AV2,50933011522
St. Helena AT2,2908611
Seychelles AT1,2482682530
South Africa BD1,27310880030
Switzerland P1,41748183428
Equatorial Guinea CT39,240905006621
Equatorial Guinea CT39,240905006620
Cuba AV141,5348796071
Eq Guinea T1,240555688655
Eq Guinea T1,240667490081
St. Helena PS2,290610945
South Africa BD1,27310880043
Equatorial Guinea CT39,240905006625
Switzerland P1,41748183430
Haiti AV2,50933011521
Equatorial Guinea CT39,240905006623
South Africa BD1,27310880042
South Africa BD1,27310880036
Azerbaijan AT1,994551842034
Azerbaijan AT1,994551842976
Azerbaijan AT1,994551842134
Ascension Island AT1,24777711
Azerbaijan AT1,994551842167
South Africa BD1,27310880041
St. Helena PS2,290610704
Latvia E43,37166269021
Spain AV1,34902552808
South Africa BD1,27310880033
St. Helena PS2,290610908
Equatorial Guinea CT39,240905006628
Seychelles AT1,2482682500
St. Helena PS2,290610345
Azerbaijan AT1,994551842359
Ascension Islands AT1,247047016
Switzerland P1,41748183424
South Africa BD1,27310880037
St. Helena PS5,290986806
Equatorial Guinea T1,240668000258
Ascension Island AT1,24777759
Azerbaijan AT1,994551842391
Cuba AV141,5348796075
Cuba AV141,5348796078
Seychelles AT1,2482682502
Azerbaijan AT1,994551842780
South Africa BD1,27310880044
Cuba AV141,5348796073
Azerbaijan AT1,994551842185
Tunisia AV14,21698020007
Switzerland P1,41748183427
Montenegro ET9,382689970470
South Africa BD1,27310880038
Barbados AV3,12462600352
Ascension Island AT1,24777909
Switzerland P1,41748183426
South Africa BD1,27310880040
Spain AV1,34902552809
St. Helena PS2,290610628
Eq Guinea T1,240555985193
Ascension Island AT1,24777710
Azerbaijan AT1,994551842904
Cuba AV141,5348796070
Cuba AV141,5348796074
Cuba AV141,5348796102
Eq Guinea T1,240555861642
Morocco AV15,212687607285
Latvia E43,37166269013
Azerbaijan AT1,994551842626
Ecuador ET31,593940885068
Monaco Mobile AV3,37744174444
Equatorial Guinea T3,240351090004
Spain AV1,34902552811
Zambia AT1,260971492033
South Africa BD1,27310880031
Pak,923004004786
Tunisia AV14,21698020009
Equatorial Guinea T3,240351090002
St. Helena PS2,290610525
Latvia E43,37166269022
Haiti AV2,50933011524
St. Helena PS2,290610622
Eq Guinea T1,240555598730
Eq Guinea T1,240963043818
Guinea CT58,22479920302
South Africa BD1,27310880055
Chad AV16,23599439360
Haiti AV2,50933011529
Cuba AV141,5348796091
Ecuador ET31,593940888960
Ascension Islands AT1,247047015
St. Helena PS2,290610480
Switzerland P1,41748183429
Switzerland P1,41748183423
Guinea T11,22478888312
Seychelles AT1,2482682515
Equatorial Guinea T3,240351090003
Ecuador ET31,593940889215
Sierra Leone AT8,23277931788
Ecuador ET31,593940886843
Eq Guinea T1,240555929738
Guinea CT58,22479920303
Sierra Leone AT8,23277887001
Seychelles AT1,2482682573
Lithuania P18,37066814403
Seychelles AT1,2482682517
