Range_Name,DID,User
Cape Verde AT,2389254441,waqasbukhari
Guyana AT,5922662163,waqasbukhari
Jamaica AT,18762555102,waqasbukhari
Jamaica AT,18762968591,waqasbukhari
Jamaica AT,18763635069,waqasbukhari
Jamaica AT,18763719097,waqasbukhari
Jamaica AT,18763767852,waqasbukhari
Jamaica AT,18763778388,waqasbukhari
Jamaica AT,18763779102,waqasbukhari
Jamaica AT,18763867045,waqasbukhari
Jamaica AT,18763930052,waqasbukhari
Jamaica AT,18764045402,waqasbukhari
Jamaica AT,18764694044,waqasbukhari
Jamaica AT,18764792213,waqasbukhari
Jamaica AT,18764820266,waqasbukhari
Jamaica AT,18764879304,waqasbukhari
Jamaica AT,18765065041,waqasbukhari
Jamaica AT,18765501719,waqasbukhari
Jamaica AT,18765581741,waqasbukhari
Jamaica AT,18768413641,waqasbukhari
Jamaica AT,18768563817,waqasbukhari
Jamaica AT,18768747831,waqasbukhari
Jamaica AT,18768904963,waqasbukhari
Jamaica AT,18768928691,waqasbukhari
Jamaica AT,18769602675,waqasbukhari
Mauritania AT,22236653206,waqasbukhari
Chad AT,23590439057,waqasbukhari
Guatemala AT,50250862860,waqasbukhari
Honduras AT,50497824440,waqasbukhari
Nicaragua AT,50583714141,waqasbukhari
Morocco AT,212610191667,waqasbukhari
Algeria AT,213560303533,waqasbukhari
Equatorial Guinea AT,240555755755,waqasbukhari
Cuba AT,5352466811,waqasbukhari
Cuba AT,5352996105,waqasbukhari
Cuba AT,5353122419,waqasbukhari
Cuba AT,5376440641,waqasbukhari
Solomon Islands AT,6777496225,waqasbukhari
Fiji AT,6798397978,waqasbukhari
Bahamas AT,12423224305,waqasbukhari
Bahamas AT,12424643294,waqasbukhari
Jamaica AT,18763793499,waqasbukhari
Jamaica AT,18764446281,waqasbukhari
Jamaica AT,18764578449,waqasbukhari
Jamaica AT,18765770262,waqasbukhari
Armenia AT,37499562976,waqasbukhari
Montenegro AT,38267562304,waqasbukhari
El Salvador AT,50371418804,waqasbukhari
Honduras AT,50496683374,waqasbukhari
Honduras AT,50497458938,waqasbukhari
Honduras AT,50499286635,waqasbukhari
Nicaragua AT,50588511927,waqasbukhari
Ghana AT,233247064179,waqasbukhari
Albania AT,355690741465,waqasbukhari
UAE AT,971505546348,waqasbukhari
Nigeria AT,2348064324176,waqasbukhari
