Range Name,DID
Croatia AT56,385955737901
Croatia AT56,385955738464
Croatia AT56,385955738485
Croatia AT56,385955738827
Croatia AT56,385955739734
Croatia AT57,385956460689
Croatia AT57,385956461104
Croatia AT57,385956461210
Croatia AT57,385956461484
Croatia AT57,385956462739
Croatia AT57,385956463011
Croatia AT57,385956463444
Croatia AT57,385956463852
Croatia AT57,385956463910
Croatia AT57,385956464295
Croatia AT57,385956464604
Croatia AT57,385956466549
Croatia AT57,385956466835
Croatia AT57,385956467561
Croatia AT57,385956467870
Croatia AT57,385956467932
Croatia AT57,385956468727
Croatia AT57,385956468749
Croatia AT57,385956469065
Croatia AT57,385956469213
Croatia AT58,385956971662
Croatia AT58,385956971672
Croatia AT58,385956972394
Croatia AT58,385956973505
Croatia AT58,385956973790
Croatia AT58,385956975430
Croatia AT58,385956976246
Croatia AT58,385956976369
Croatia AT58,385956976471
Croatia AT58,385956976699
Croatia AT58,385956976904
Croatia AT58,385956977453
Croatia AT58,385956977578
Croatia AT58,385956978235
Croatia AT58,385956978380
Croatia AT58,385956978597
Croatia AT58,385956978806
Croatia AT58,385956979011
Croatia AT58,385956979309
Croatia AT58,385956979829
Croatia AT59,385957350493
Croatia AT59,385957352005
Croatia AT59,385957353358
Croatia AT59,385957353385
Croatia AT59,385957353824
Croatia AT59,385957353865
Croatia AT59,385957354020
Croatia AT59,385957354089
Croatia AT59,385957354485
Croatia AT59,385957354789
Croatia AT59,385957354822
Croatia AT59,385957355766
Croatia AT59,385957356089
Croatia AT59,385957357491
Croatia AT59,385957357725
Croatia AT59,385957358614
Croatia AT59,385957359314
Croatia AT59,385957359366
Croatia AT59,385957359542
Croatia AT59,385957359952
Croatia AT6,38513300
Croatia AT60,385957770114
Croatia AT60,385957770312
Croatia AT60,385957770789
Croatia AT60,385957771097
Croatia AT60,385957771650
Croatia AT60,385957771981
Croatia AT60,385957772104
Croatia AT60,385957772533
Croatia AT60,385957772572
Croatia AT60,385957772611
Croatia AT60,385957774917
Croatia AT60,385957776880
Croatia AT60,385957777136
Croatia AT60,385957777589
Croatia AT60,385957777628
Croatia AT60,385957778482
Croatia AT60,385957778555
Croatia AT60,385957778969
Croatia AT60,385957779540
Croatia AT60,385957779996
Croatia AT61,385958580167
Croatia AT61,385958580696
Croatia AT61,385958581136
Croatia AT61,385958581505
Croatia AT61,385958581539
Croatia AT61,385958581699
Croatia AT61,385958582250
Croatia AT61,385958583749
Croatia AT61,385958583787
Croatia AT61,385958584082
Croatia AT61,385958584507
Croatia AT61,385958584996
Croatia AT61,385958585551
Croatia AT61,385958587822
Croatia AT61,385958588247
Croatia AT61,385958588505
Croatia AT61,385958588815
Croatia AT61,385958589415
Croatia AT61,385958589563
Croatia AT61,385958589793
Croatia AT62,385958710041
Croatia AT62,385958710208
Croatia AT62,385958710973
Croatia AT62,385958711450
Croatia AT62,385958711875
Croatia AT62,385958711953
Croatia AT62,385958711959
Croatia AT62,385958712198
Croatia AT62,385958712846
Croatia AT62,385958713025
Croatia AT62,385958713627
Croatia AT62,385958714342
Croatia AT62,385958714557
Croatia AT62,385958714651
Croatia AT62,385958715943
Croatia AT62,385958716165
Croatia AT62,385958717035
Croatia AT62,385958718022
Croatia AT62,385958719441
Croatia AT62,385958719772
Croatia AT63,385982408061
Croatia AT63,385982409711
Croatia AT63,385982416256
Croatia AT63,385982421411
Croatia AT63,385982429451
Croatia AT63,385982433427
Croatia AT63,385982435363
Croatia AT63,385982437446
Croatia AT63,385982437564
Croatia AT63,385982438518
Croatia AT63,385982443898
Croatia AT63,385982446145
Croatia AT63,385982448723
Croatia AT63,385982454983
Croatia AT63,385982457405
Croatia AT63,385982466421
Croatia AT63,385982470055
Croatia AT63,385982477521
Croatia AT63,385982483548
Croatia AT63,385982486250
Croatia AT64,385995108537
Croatia AT64,385995120148
Croatia AT64,385995123272
Croatia AT64,385995124638
Croatia AT64,385995131542
Croatia AT64,385995133036
Croatia AT64,385995140649
Croatia AT64,385995145103
Croatia AT64,385995147088
Croatia AT64,385995148552
Croatia AT64,385995155920
Croatia AT64,385995159889
Croatia AT64,385995163725
Croatia AT64,385995165228
Croatia AT64,385995166487
Croatia AT64,385995168077
Croatia AT64,385995170971
Croatia AT64,385995192271
Croatia AT64,385995192972
Croatia AT64,385995197327
Croatia AT65,38597111003
Croatia AT65,38597111059
Croatia AT65,38597111084
Croatia AT65,38597111124
Croatia AT65,38597111200
Croatia AT65,38597111229
Croatia AT65,38597111264
Croatia AT65,38597111354
Croatia AT65,38597111371
Croatia AT65,38597111390
Croatia AT65,38597111403
Croatia AT65,38597111519
Croatia AT65,38597111596
Croatia AT65,38597111764
Croatia AT65,38597111905
Croatia AT65,38597111907
Croatia AT65,38597111908
Croatia AT65,38597111926
Croatia AT65,38597111967
Croatia AT65,38597111992
Croatia AT66,38597159125
Croatia AT66,38597159144
Croatia AT66,38597159157
Croatia AT66,38597159235
Croatia AT66,38597159311
Croatia AT66,38597159312
Croatia AT66,38597159425
Croatia AT66,38597159468
Croatia AT66,38597159470
Croatia AT66,38597159530
Croatia AT66,38597159535
Croatia AT66,38597159540
Croatia AT66,38597159555
Croatia AT66,38597159738
Croatia AT66,38597159796
Croatia AT66,38597159798
Croatia AT66,38597159822
Croatia AT66,38597159861
Croatia AT66,38597159889
Croatia AT66,38597159897
Croatia AT67,38597197023
Croatia AT67,38597197137
Croatia AT67,38597197351
Croatia AT67,38597197362
Croatia AT67,38597197373
Croatia AT67,38597197565
Croatia AT67,38597197608
Croatia AT67,38597197620
Croatia AT67,38597197655
Croatia AT67,38597197702
Croatia AT67,38597197705
Croatia AT67,38597197760
Croatia AT67,38597197842
Croatia AT67,38597197855
Croatia AT67,38597197882
Croatia AT67,38597197913
Croatia AT67,38597197920
Croatia AT67,38597197952
Croatia AT67,38597197957
Croatia AT67,38597197959
Croatia AT68,38597333025
Croatia AT68,38597333041
Croatia AT68,38597333066
Croatia AT68,38597333114
Croatia AT68,38597333182
Croatia AT68,38597333201
Croatia AT68,38597333261
Croatia AT68,38597333311
Croatia AT68,38597333315
Croatia AT68,38597333351
Croatia AT68,38597333407
Croatia AT68,38597333432
Croatia AT68,38597333434
Croatia AT68,38597333501
Croatia AT68,38597333619
Croatia AT68,38597333648
Croatia AT68,38597333666
Croatia AT68,38597333696
Croatia AT68,38597333793
Croatia AT68,38597333856
Croatia AT69,38597377004
Croatia AT69,38597377005
Croatia AT69,38597377006
Croatia AT69,38597377065
Croatia AT69,38597377089
Croatia AT69,38597377096
Croatia AT69,38597377179
Croatia AT69,38597377198
Croatia AT69,38597377329
Croatia AT69,38597377362
Croatia AT69,38597377516
Croatia AT69,38597377519
Croatia AT69,38597377607
Croatia AT69,38597377732
Croatia AT69,38597377766
Croatia AT69,38597377801
Croatia AT69,38597377901
Croatia AT69,38597377930
Croatia AT69,38597377993
Croatia AT69,38597377997
Croatia AT7,38517529070
Croatia AT7,38517529082
Croatia AT7,38517529127
Croatia AT7,38517529130
Croatia AT7,38517529160
Croatia AT7,38517529227
Croatia AT7,38517529228
Croatia AT7,38517529288
Croatia AT7,38517529294
Croatia AT7,38517529328
Croatia AT7,38517529462
Croatia AT7,38517529576
Croatia AT7,38517529587
Croatia AT7,38517529596
Croatia AT7,38517529655
Croatia AT7,38517529682
Croatia AT7,38517529703
Croatia AT7,38517529743
Croatia AT7,38517529755
Croatia AT7,38517529847
Croatia AT70,38597406135
Croatia AT70,38597406146
Croatia AT70,38597406199
Croatia AT70,38597406239
Croatia AT70,38597406299
Croatia AT70,38597406331
Croatia AT70,38597406371
Croatia AT70,38597406450
Croatia AT70,38597406494
Croatia AT70,38597406526
Croatia AT70,38597406549
Croatia AT70,38597406647
Croatia AT70,38597406678
Croatia AT70,38597406743
Croatia AT70,38597406783
Croatia AT70,38597406873
Croatia AT70,38597406937
Croatia AT70,38597406977
Croatia AT70,38597406985
Croatia AT70,38597406987
Croatia AT71,385976321239
Croatia AT71,385976321714
Croatia AT71,385976322087
Croatia AT71,385976322299
Croatia AT71,385976323462
Croatia AT71,385976323502
Croatia AT71,385976323638
Croatia AT71,385976324242
Croatia AT71,385976324659
Croatia AT71,385976325362
Croatia AT71,385976325665
Croatia AT71,385976326087
Croatia AT71,385976327225
Croatia AT71,385976327671
Croatia AT71,385976328495
Croatia AT71,385976328577
Croatia AT71,385976328699
Croatia AT71,385976328886
Croatia AT71,385976329714
Croatia AT71,385976329937
Croatia AT72,385977730119
Croatia AT72,385977731094
Croatia AT72,385977731204
Croatia AT72,385977732531
Croatia AT72,385977733545
Croatia AT72,385977733953
Croatia AT72,385977734791
Croatia AT72,385977734896
Croatia AT72,385977734995
Croatia AT72,385977735735
Croatia AT72,385977735882
Croatia AT72,385977735906
Croatia AT72,385977736149
Croatia AT72,385977736385
Croatia AT72,385977736776
Croatia AT72,385977737186
Croatia AT72,385977738011
Croatia AT72,385977739691
Croatia AT72,385977739823
Croatia AT72,385977739859
Croatia AT73,385977790230
Croatia AT73,385977790438
Croatia AT73,385977792322
Croatia AT73,385977793140
Croatia AT73,385977793457
Croatia AT73,385977794039
Croatia AT73,385977794485
Croatia AT73,385977794664
Croatia AT73,385977795068
Croatia AT73,385977795153
Croatia AT73,385977795293
Croatia AT73,385977795771
Croatia AT73,385977796736
Croatia AT73,385977796953
Croatia AT73,385977796957
Croatia AT73,385977797911
Croatia AT73,385977798213
Croatia AT73,385977798848
Croatia AT73,385977799112
Croatia AT73,385977799456
Croatia AT74,385979780328
Croatia AT74,385979781400
Croatia AT74,385979781936
Croatia AT74,385979781990
Croatia AT74,385979782675
Croatia AT74,385979784190
Croatia AT74,385979784265
Croatia AT74,385979785202
Croatia AT74,385979785231
Croatia AT74,385979785897
Croatia AT74,385979786285
Croatia AT74,385979786780
Croatia AT74,385979786930
Croatia AT74,385979787184
Croatia AT74,385979787225
Croatia AT74,385979787923
Croatia AT74,385979788460
Croatia AT74,385979788740
Croatia AT74,385979788772
Croatia AT74,385979789878
Croatia AT75,385980040021
Croatia AT75,385980040448
Croatia AT75,385980040784
Croatia AT75,385980041062
Croatia AT75,385980041426
Croatia AT75,385980041620
Croatia AT75,385980041672
Croatia AT75,385980041888
Croatia AT75,385980042953
Croatia AT75,385980043520
Croatia AT75,385980043611
Croatia AT75,385980044867
Croatia AT75,385980045148
Croatia AT75,385980047592
Croatia AT75,385980047783
Croatia AT75,385980047895
Croatia AT75,385980048070
Croatia AT75,385980048492
Croatia AT75,385980048540
Croatia AT75,385980049459
Croatia AT76,385980141411
Croatia AT76,385980141423
Croatia AT76,385980141979
Croatia AT76,385980142754
Croatia AT76,385980142871
Croatia AT76,385980143530
Croatia AT76,385980143540
Croatia AT76,385980143603
Croatia AT76,385980144034
Croatia AT76,385980144606
Croatia AT76,385980144658
Croatia AT76,385980144896
Croatia AT76,385980145034
Croatia AT76,385980145854
Croatia AT76,385980147414
Croatia AT76,385980148679
Croatia AT76,385980148765
Croatia AT76,385980148772
Croatia AT76,385980148853
Croatia AT76,385980149687
Croatia AT77,385980200027
Croatia AT77,385980200742
Croatia AT77,385980201098
Croatia AT77,385980201102
Croatia AT77,385980201164
Croatia AT77,385980201317
Croatia AT77,385980201543
Croatia AT77,385980201634
Croatia AT77,385980202857
Croatia AT77,385980203184
Croatia AT77,385980204550
Croatia AT77,385980205004
Croatia AT77,385980206628
Croatia AT77,385980206931
Croatia AT77,385980207141
Croatia AT77,385980207558
Croatia AT77,385980207857
Croatia AT77,385980208868
Croatia AT77,385980208959
Croatia AT77,385980209588
Croatia AT78,385981300656
Croatia AT78,385981300746
Croatia AT78,385981301003
Croatia AT78,385981302757
Croatia AT78,385981303621
Croatia AT78,385981303842
Croatia AT78,385981303900
