Range_Name,Buying,Weekly,Monthly,Dial Code,len,Number_Format,Number_Format_Length,diff,Range_Start,Range_End
Afghanistan AT140,0.1,0.07,0.085,9310959,7,93XXXXXXX,9,2,931095900,931095999
Afghanistan AT148,0.1,0.07,0.085,9336796,7,93XXXXXXX,9,2,933679600,933679699
Afghanistan AT155,0.1,0.07,0.085,9396979,7,93XXXXXXX,9,2,939697900,939697999
Afghanistan AT156,0.1,0.07,0.085,9399157,7,93XXXXXXX,9,2,939915700,939915799
Austria AT10,0.12,0.09,0.1,43681197,8,43XXXXXXXXXXXX,14,6,43681197000000,43681197999999
Austria AT11,0.12,0.09,0.1,43681443,8,43XXXXXXXXXXXX,14,6,43681443000000,43681443999999
Austria AT12,0.12,0.09,0.1,43681464,8,43XXXXXXXXXXXX,14,6,43681464000000,43681464999999
Austria AT13,0.12,0.09,0.1,43681747,8,43XXXXXXXXXXXX,14,6,43681747000000,43681747999999
Austria AT14,0.12,0.09,0.1,43681873,8,43XXXXXXXXXXXX,14,6,43681873000000,43681873999999
Cuba AT964,0.3,0.22,0.27,539535,6,53XXXXXXXXX,11,5,53953500000,53953599999
Greece AT1,0.15,0.11,0.13,30692428,8,30XXXXXXXX,10,2,3069242800,3069242899
Greece AT2,0.15,0.11,0.13,30692500,8,30XXXXXXXX,10,2,3069250000,3069250099
Myanmar AT1,0.11,0.08,0.09,950143,6,95XXXXXXXXX,11,5,95014300000,95014399999
Myanmar AT4,0.11,0.08,0.09,953631,6,95XXXXXXXXX,11,5,95363100000,95363199999
Myanmar AT5,0.11,0.08,0.09,954178,6,95XXXXXXXXX,11,5,95417800000,95417899999
Myanmar AT6,0.11,0.08,0.09,956779,6,95XXXXXXXXX,11,5,95677900000,95677999999
Myanmar AT7,0.11,0.08,0.09,957080,6,95XXXXXXXXX,11,5,95708000000,95708099999
Myanmar AT8,0.11,0.08,0.09,957283,6,95XXXXXXXXX,11,5,95728300000,95728399999
Myanmar AT9,0.11,0.08,0.09,957856,6,95XXXXXXXXX,11,5,95785600000,95785699999
Myanmar AT10,0.11,0.08,0.09,9500475,7,95XXXXXXXXX,11,4,95004750000,95004759999
