Range Name,DID
Zimbabwe AT97,263778800452
Zimbabwe AT97,263778801685
Zimbabwe AT97,263778802016
Zimbabwe AT97,263778802367
Zimbabwe AT97,263778803165
Zimbabwe AT97,263778804399
Zimbabwe AT97,263778804405
Zimbabwe AT97,263778804429
Zimbabwe AT97,263778804465
Zimbabwe AT97,263778804605
Zimbabwe AT97,263778805420
Zimbabwe AT97,263778806008
Zimbabwe AT97,263778806571
Zimbabwe AT97,263778806606
Zimbabwe AT97,263778806825
Zimbabwe AT97,263778806991
Zimbabwe AT97,263778807772
Zimbabwe AT97,263778808297
Zimbabwe AT97,263778808859
Zimbabwe AT97,263778809558
Zimbabwe AT98,263778810172
Zimbabwe AT98,263778810261
Zimbabwe AT98,263778810786
Zimbabwe AT98,263778811236
Zimbabwe AT98,263778811437
Zimbabwe AT98,263778812748
Zimbabwe AT98,263778812907
Zimbabwe AT98,263778813131
Zimbabwe AT98,263778813237
Zimbabwe AT98,263778815231
Zimbabwe AT98,263778816503
Zimbabwe AT98,263778816770
Zimbabwe AT98,263778816778
Zimbabwe AT98,263778817075
Zimbabwe AT98,263778817302
Zimbabwe AT98,263778817308
Zimbabwe AT98,263778817643
Zimbabwe AT98,263778818614
Zimbabwe AT98,263778818850
Zimbabwe AT98,263778819333
Zimbabwe AT99,263778930264
Zimbabwe AT99,263778930339
Zimbabwe AT99,263778930344
Zimbabwe AT99,263778930484
Zimbabwe AT99,263778932350
Zimbabwe AT99,263778932864
Zimbabwe AT99,263778933803
Zimbabwe AT99,263778934732
Zimbabwe AT99,263778934808
Zimbabwe AT99,263778935544
Zimbabwe AT99,263778937063
Zimbabwe AT99,263778937442
Zimbabwe AT99,263778937455
Zimbabwe AT99,263778937975
Zimbabwe AT99,263778938028
Zimbabwe AT99,263778938351
Zimbabwe AT99,263778938379
Zimbabwe AT99,263778938742
Zimbabwe AT99,263778939825
Zimbabwe AT99,263778939919
