,"Operator Name","Number Range","Buying Rate","Duration"
,"Aggregator","Albania AT","0.00000","93.44"
,"Aggregator","Algeria AT","0.00000","442.74"
,"Aggregator","Angola AT","0.00000","72.32"
,"Aggregator","Antigua AT","0.00000","0.36"
,"Aggregator","Armenia AT","0.00000","2.72"
,"Aggregator","Aruba AT","0.00000","0.12"
,"Aggregator","Azerbaijan AT","0.00000","38.08"
,"Aggregator","Bahamas AT","0.00000","48.10"
,"Aggregator","Barbados AT","0.00000","2.10"
,"Aggregator","Belarus AT","0.00000","859.95"
,"Aggregator","Belgium AT","0.00000","1.13"
,"Aggregator","Belize AT","0.00000","5.60"
,"Aggregator","Benin AT","0.00000","66.27"
,"Aggregator","Bolivia AT","0.00000","410.58"
,"Aggregator","Bosnia AT","0.00000","161.43"
,"Aggregator","Burkina Faso AT","0.00000","39.03"
,"Aggregator","Burundi AT","0.00000","1.80"
,"Aggregator","Cameroon AT","0.00000","1480.94"
,"Aggregator","Cape Verde AT","0.00000","75.66"
,"Aggregator","CAR AT","0.00000","1.48"
,"Aggregator","Chad AT","0.00000","56.43"
,"Aggregator","Comoros AT","0.00000","6.84"
,"Aggregator","Congo AT","0.00000","114.17"
,"Aggregator","Cuba AT","0.00000","78.10"
,"Aggregator","Djibouti AT","0.00000","2.75"
,"Aggregator","Dominica AT","0.00000","0.83"
,"Aggregator","DR Congo AT","0.00000","741.93"
,"Aggregator","Ecuador AT","0.00000","4.12"
,"Aggregator","Equatorial Guinea AT","0.00000","259.81"
,"Aggregator","Eritrea AT","0.00000","1.18"
,"Aggregator","Estonia AT","0.00000","14.02"
,"Aggregator","Ethiopia AT","0.00000","81.59"
,"Aggregator","Gabon AT","0.00000","4.80"
,"Aggregator","Gambia AT","0.00000","2.91"
,"Aggregator","Georgia AT","0.00000","4.22"
,"Aggregator","Ghana AT","0.00000","409.51"
,"Aggregator","Grenada AT","0.00000","57.14"
,"Aggregator","Guatemala AT","0.00000","32.28"
,"Aggregator","Guinea AT","0.00000","31.93"
,"Aggregator","Guyana AT","0.00000","125.97"
,"Aggregator","Haiti AT","0.00000","324.47"
,"Aggregator","Honduras AT","0.00000","174.45"
,"Aggregator","Iran AT","0.00000","2.31"
,"Aggregator","Iraq AT","0.00000","605.07"
,"Aggregator","Ivory AT","0.00000","0.74"
,"Aggregator","Jamaica AT","0.00000","697.53"
,"Aggregator","Jordan AT","0.00000","440.67"
,"Aggregator","Latvia AT","0.00000","0.03"
,"Aggregator","Lebanon AT","0.00000","0.13"
,"Aggregator","Liberia AT","0.00000","66.68"
,"Aggregator","Libya AT","0.00000","0.12"
,"Aggregator","Lithuania AT","0.00000","4.39"
,"Aggregator","Macedonia AT","0.00000","72.19"
,"Aggregator","Madagascar AT","0.00000","35.57"
,"Aggregator","Malawi AT","0.00000","20.88"
,"Aggregator","Maldives AT","0.00000","0.62"
,"Aggregator","Mali AT","0.00000","191.26"
,"Aggregator","Mauritania AT","0.00000","81.37"
,"Aggregator","Moldova AT","0.00000","965.28"
,"Aggregator","Monaco AT","0.00000","7.68"
,"Aggregator","Montenegro AT","0.00000","49.61"
,"Aggregator","Montserrat AT","0.00000","44.73"
,"Aggregator","Morocco AT","0.00000","1186.38"
,"Aggregator","Mozambique AT","0.00000","23.23"
,"Aggregator","Nicaragua AT","0.00000","58.16"
,"Aggregator","Niger AT","0.00000","0.87"
,"Aggregator","Nigeria AT","0.00000","1679.39"
,"Aggregator","Oman AT","0.00000","4.55"
,"Aggregator","Philippines AT","0.00000","2.50"
,"Aggregator","Qatar AT","0.00000","435.97"
,"Aggregator","Senegal AT","0.00000","283.05"
,"Aggregator","Serbia AT","0.00000","21.21"
,"Aggregator","Serbia AV5","0.11500","0.22"
,"Aggregator","Sierra Leone AT","0.00000","1.56"
,"Aggregator","Slovenia AT","0.00000","3.18"
,"Aggregator","Somalia AT","0.00000","3.92"
,"Aggregator","South Africa AT","0.00000","477.40"
,"Aggregator","Sri Lanka AT","0.00000","174.08"
,"Aggregator","Sudan AT","0.10000","150.86"
,"Aggregator","Switzerland AT","0.00000","3.60"
,"Aggregator","Syria AT","0.00000","13.34"
,"Aggregator","Tanzania AT","0.00000","23.58"
,"Aggregator","Togo AT","0.00000","1.07"
,"Aggregator","Trinidad AT","0.00000","4.06"
,"Aggregator","Tunisia AT","0.00000","3310.55"
,"Aggregator","Turkmenistan AT","0.00000","61.92"
,"Aggregator","Turks AT","0.00000","0.72"
,"Aggregator","UAE AT","0.00000","14.46"
,"Aggregator","Uganda AT","0.00000","4.08"
,"Aggregator","UK AT","0.00000","217.86"
,"Aggregator","Yemen AT","0.00000","62.14"
,"Aggregator","Zambia AT","0.00000","254.24"
,"Aggregator","Zimbabwe AT","0.00000","15.30"
,"Avalon","Albania AV10","0.17500","0.18"
,"Avalon","Albania AV13","0.05000","538.03"
,"Avalon","Albania AV14","0.05000","1.53"
,"Avalon","Albania AV15","0.05000","0.17"
,"Avalon","Albania AV16","0.05000","1.23"
,"Avalon","Albania AV3","0.17500","0.07"
,"Avalon","Albania AV30","0.05000","78.25"
,"Avalon","Albania AV32","0.17500","0.17"
,"Avalon","Albania AV33","0.17500","0.05"
,"Avalon","Albania AV37","0.17500","1.62"
,"Avalon","Albania AV38","0.17500","0.05"
,"Avalon","Albania AV39","0.17500","0.07"
,"Avalon","Albania AV40","0.17500","0.12"
,"Avalon","Albania Mobile AV2","0.17500","0.02"
,"Avalon","Algeria AV110","0.19000","0.08"
,"Avalon","Algeria AV124","0.19000","0.12"
,"Avalon","Algeria AV129","0.19000","804.77"
,"Avalon","Algeria AV135","0.19000","1.50"
,"Avalon","Algeria AV19","0.19000","0.00"
,"Avalon","Algeria AV30","0.19000","1358.98"
,"Avalon","Algeria AV32","0.19000","2.47"
,"Avalon","Algeria AV34","0.19000","0.10"
,"Avalon","Algeria AV35","0.19000","0.03"
,"Avalon","Algeria AV37","0.19000","0.00"
,"Avalon","Algeria AV41","0.19000","1.05"
,"Avalon","Algeria AV50","0.19000","0.27"
,"Avalon","Algeria AV55","0.19000","8104.22"
,"Avalon","Algeria AV57","0.19000","0.22"
,"Avalon","Algeria AV64","0.19000","4.53"
,"Avalon","Algeria AV71","0.19000","12954.48"
,"Avalon","Algeria AV78","0.19000","0.70"
,"Avalon","Algeria AV8","0.19000","0.57"
,"Avalon","Algeria AV99","0.19000","0.02"
,"Avalon","Algeria Mobile AV2","0.19000","0.40"
,"Avalon","Algeria Mobile AV8","0.19000","1502.30"
,"Avalon","Angola AV4","0.06000","0.18"
,"Avalon","Angola AV5","0.06000","5.12"
,"Avalon","Anguilla AV1","0.08500","0.02"
,"Avalon","Aruba AV3","0.08000","1.38"
,"Avalon","Ascension AV16","0.35000","0.05"
,"Avalon","Azerbaijan AV12","0.12500","0.03"
,"Avalon","Azerbaijan AV4","0.12500","597.22"
,"Avalon","Azerbaijan AV5","0.12500","381.97"
,"Avalon","Azerbaijan AV9","0.12500","0.90"
,"Avalon","Bahamas AV5","0.03500","0.53"
,"Avalon","Bahrain AV1","0.04000","1.07"
,"Avalon","Bahrain AV2","0.04000","1.03"
,"Avalon","Bahrain AV3","0.04000","0.02"
,"Avalon","Belarus AV15","0.15500","38.20"
,"Avalon","Belarus AV3","0.15500","0.03"
,"Avalon","Belarus AV4","0.15500","368.10"
,"Avalon","Belarus AV7","0.15500","0.00"
,"Avalon","Belgium AV1","0.15000","0.03"
,"Avalon","Belgium AV14","0.15000","1.02"
,"Avalon","Belize AV2","0.09500","0.02"
,"Avalon","Benin AV5","0.13000","0.73"
,"Avalon","Benin AV6","0.13000","0.18"
,"Avalon","Benin AV7","0.13000","38.85"
,"Avalon","Benin AV9","0.13000","0.67"
,"Avalon","Bolivia AV2","0.07000","1.52"
,"Avalon","Bolivia AV3","0.06500","0.20"
,"Avalon","Bolivia AV4","0.06500","1.52"
,"Avalon","Bolivia AV5","0.06500","1.08"
,"Avalon","Bolivia AV6","0.06500","2.93"
,"Avalon","Bosnia AV12","0.16000","5.02"
,"Avalon","Bosnia AV13","0.11500","4.58"
,"Avalon","Bosnia AV15","0.16000","0.65"
,"Avalon","Bosnia AV16","0.11500","0.20"
,"Avalon","Bosnia AV4","0.16000","0.18"
,"Avalon","Bosnia AV5","0.16000","5.38"
,"Avalon","Bosnia Mobile AV2","0.16000","3.53"
,"Avalon","Cameroon AV1","0.16500","1.38"
,"Avalon","Car AV18","0.19500","0.00"
,"Avalon","Car AV2","0.19500","0.02"
,"Avalon","Chad AV20","0.19500","0.07"
,"Avalon","Comoros AV17","0.18000","0.55"
,"Avalon","Comoros AV19","0.18000","0.35"
,"Avalon","Comoros AV27","0.18000","0.08"
,"Avalon","Congo AV2","0.20500","0.60"
,"Avalon","Cuba AV1","0.28500","4.52"
,"Avalon","Cuba AV10","0.28500","0.67"
,"Avalon","Cuba AV108","0.28500","0.37"
,"Avalon","Cuba AV125","0.28500","2.07"
,"Avalon","Cuba AV148","0.28500","42.43"
,"Avalon","Cuba AV155","0.28500","0.00"
,"Avalon","Cuba AV160","0.28500","1.50"
,"Avalon","Cuba AV204","0.28500","0.12"
,"Avalon","Cuba AV21","0.28500","0.42"
,"Avalon","Cuba AV229","0.28500","1.50"
,"Avalon","Cuba AV237","0.28500","0.10"
,"Avalon","Cuba AV240","0.28500","0.10"
,"Avalon","Cuba AV247","0.28500","0.08"
,"Avalon","Cuba AV252","0.28500","0.07"
,"Avalon","El Salvador AV4","0.05000","0.30"
,"Avalon","El Salvador AV6","0.05000","1.05"
,"Avalon","Equatorial Guinea AV1","0.17000","1199.83"
,"Avalon","Eritrea AV1","0.10000","0.05"
,"Avalon","Eritrea AV13","0.10000","0.02"
,"Avalon","Eritrea AV2","0.10000","0.45"
,"Avalon","Eritrea AV4","0.10000","0.70"
,"Avalon","Eritrea AV5","0.10000","6.20"
,"Avalon","Eritrea AV6","0.10000","0.08"
,"Avalon","Eritrea AV9","0.10000","0.50"
,"Avalon","Falkland AV10","0.31000","0.02"
,"Avalon","Falkland AV12","0.31000","898.52"
,"Avalon","Falkland AV13","0.31000","2.47"
,"Avalon","Falkland AV14","0.31000","3230.08"
,"Avalon","Falkland AV5","0.31000","1.25"
,"Avalon","Falkland AV6","0.31000","0.20"
,"Avalon","Falkland AV7","0.31000","1.25"
,"Avalon","Falkland Islands AV1","0.31000","1.43"
,"Avalon","Falklands AV2","0.30000","638.92"
,"Avalon","Falklands AV9","0.30000","0.20"
,"Avalon","France AV1","0.08500","2.13"
,"Avalon","France AV4","0.08500","0.47"
,"Avalon","France AV6","0.08500","0.45"
,"Avalon","Gabon AV3","0.18500","0.10"
,"Avalon","Gambia AV1","0.19500","0.02"
,"Avalon","Gambia AV2","0.19500","0.08"
,"Avalon","Ghana AV3","0.10000","0.07"
,"Avalon","Ghana AV7","0.10000","0.15"
,"Avalon","Grenada AV1","0.07500","0.40"
,"Avalon","Grenada AV3","0.07500","0.30"
,"Avalon","Guinea AV1","0.20000","0.00"
,"Avalon","Guinea AV3","0.20000","0.18"
,"Avalon","Guinea AV4","0.20000","6.38"
,"Avalon","Guinea Bissau AV3","0.20500","0.02"
,"Avalon","Guinea Bissau AV4","0.20500","1.52"
,"Avalon","Guyana AV1","0.08000","3569.28"
,"Avalon","Guyana AV2","0.08000","1129.17"
,"Avalon","Guyana AV4","0.08000","0.18"
,"Avalon","Guyana AV5","0.08000","4755.30"
,"Avalon","Guyana AV7","0.08000","0.37"
,"Avalon","Guyana AV9","0.08000","0.40"
,"Avalon","Haiti AV2","0.11000","1.30"
,"Avalon","Honduras AV15","0.05000","1.03"
,"Avalon","Honduras AV16","0.05000","0.35"
,"Avalon","Honduras AV18","0.05000","128.58"
,"Avalon","Iran AV3","0.06000","0.07"
,"Avalon","Jamaica AV1","0.07000","0.18"
,"Avalon","Jamaica AV10","0.07000","0.08"
,"Avalon","Jamaica AV11","0.07000","0.58"
,"Avalon","Jamaica AV20","0.07000","1.33"
,"Avalon","Jamaica AV21","0.07000","0.55"
