,"Operator Name","Number Range","Buying Rate","Duration"
,"Aggregator","Algeria AT","0.00000","0.16"
,"Aggregator","Angola AT","0.00000","0.05"
,"Aggregator","Cameroon AT","0.00000","0.22"
,"Aggregator","Congo AT","0.00000","0.02"
,"Aggregator","DR Congo AT","0.00000","0.25"
,"Aggregator","Equatorial Guinea AT","0.00000","11.83"
,"Aggregator","Ethiopia AT","0.00000","0.17"
,"Aggregator","Ghana AT","0.00000","3.18"
,"Aggregator","Guinea AT","0.00000","0.05"
,"Aggregator","Iraq AT","0.00000","0.12"
,"Aggregator","Ivory AT","0.00000","0.03"
,"Aggregator","Jordan AT","0.00000","0.20"
,"Aggregator","Macedonia AT","0.00000","0.57"
,"Aggregator","Madagascar AT","0.00000","0.93"
,"Aggregator","Mali AT","0.00000","0.03"
,"Aggregator","Mauritania AT","0.00000","0.07"
,"Aggregator","Moldova AT","0.00000","19.18"
,"Aggregator","Morocco AT","0.00000","6.70"
,"Aggregator","Nigeria AT","0.00000","0.08"
,"Aggregator","Qatar AT","0.00000","0.65"
,"Aggregator","Senegal AT","0.00000","4.76"
,"Aggregator","Serbia AT","0.00000","0.02"
,"Aggregator","Sri Lanka AT","0.00000","0.03"
,"Aggregator","Tunisia AT","0.00000","36.37"
,"Aggregator","UAE AT","0.00000","0.02"
,"Aggregator","Zambia AT","0.00000","3.92"
,"Avalon","Albania AV30","0.05000","54.25"
,"Avalon","Albania AV37","0.17500","0.36"
,"Avalon","Algeria AV32","0.19000","0.12"
,"Avalon","Algeria AV41","0.19000","0.20"
,"Avalon","Bahrain AV1","0.04000","0.18"
,"Avalon","Bahrain AV2","0.04000","0.17"
,"Avalon","Benin AV9","0.13000","0.32"
,"Avalon","Bolivia AV5","0.06500","0.33"
,"Avalon","Bosnia AV15","0.16000","0.13"
,"Avalon","Comoros AV19","0.18000","0.03"
,"Avalon","Cuba AV108","0.28500","0.12"
,"Avalon","Cuba AV237","0.28500","0.10"
,"Avalon","Eritrea AV5","0.10000","0.50"
,"Avalon","Eritrea AV6","0.10000","0.00"
,"Avalon","Guyana AV1","0.08000","0.20"
,"Avalon","Kiribati AV2","0.27000","71.87"
,"Avalon","Kiribati AV5","0.27000","0.10"
,"Avalon","Mauritania AV34","0.19000","0.03"
,"Avalon","Mauritania AV52","0.19000","0.45"
,"Avalon","Monaco AV15","0.18500","0.38"
,"Avalon","Montenegro AV7","0.13500","0.82"
,"Avalon","Morocco AV23","0.16000","0.15"
,"Avalon","Morocco AV45","0.16000","0.02"
,"Avalon","Morocco AV55","0.16000","0.15"
,"Avalon","Morocco AV63","0.16000","0.03"
,"Avalon","Morocco AV78","0.16000","0.02"
,"Avalon","Samoa AV8","0.30000","0.20"
,"Avalon","Senegal AV1","0.17500","2.00"
,"Avalon","Switzerland AV3","0.10500","0.18"
,"Avalon","Tonga AV12","0.30000","1.05"
,"Avalon","Tunisia AV11","0.20000","0.13"
,"Avalon","Tunisia AV118","0.20000","0.18"
,"Avalon","Tunisia AV122","0.20000","0.28"
,"Avalon","Tunisia AV15","0.20000","0.30"
,"Avalon","Tunisia AV44","0.20000","0.57"
,"Avalon","Tunisia AV97","0.20000","0.13"
,"Avalon","UK AV8","0.07500","0.68"
,"Avalon","Vanuatu AV3","0.28000","0.53"
,"Avalon","Vanuatu AV4","0.28000","0.58"
,"Avalon","Vanuatu AV8","0.28000","14.36"
,"Celestatel","Morocco CT100","0.17500","0.02"
,"Celestatel","Qatar CT40","0.08000","1.10"
,"Celestatel","Qatar CT51","0.08000","0.07"
,"Celestatel","Srilanka CT3","0.07500","0.38"
,"Febo Telecom","Estonia FT3","0.20000","0.52"
,"Febo Telecom","Estonia FT7","0.22000","0.50"
,"Febo Telecom","Estonia FT8","0.22000","0.50"
,"Febo Telecom","Russia FT5","0.15000","0.17"
,"Febo Telecom","Spain FT1","0.22000","2.05"
,"Febo Telecom","Tajikistan FT12","0.08000","1462.05"
,"Febo Telecom","Tunisia FT1","0.14400","0.28"
,"Febo Telecom","Tunisia FT2","0.14400","0.32"
,"INTERPREM","Equatorial Guinea T1","0.24500","0.65"
,"INTERPREM","Equatorial Guinea T3","0.24500","1.53"
,"NordConnect","Estonia P134","0.23000","0.02"
,"NordConnect","Lithuania P127","0.17000","0.22"
,"NordConnect","Serbia P8","0.10000","31.52"
,"NordConnect","Sierra Leone P1","0.14000","0.10"
,"NordConnect","Slovenia P1","0.18000","0.02"
,"NordConnect","Slovenia P13","0.18000","0.03"
,"NordConnect","Spain P5","0.15000","0.20"
