,"Numberrange","TestNumber","Currency","maxdailyminutes","WeeklyRate","DailyRate","MonthlyRate"
," Maldives CT4","9607760068","USD","3000","0.24000","0.00000","0.27000"
,"Afghanistan AV1","93729039017","USD","3000","0.04000","0.00000","0.05000"
,"Afghanistan AV2","93729879008","USD","3000","0.04000","0.00000","0.05000"
,"Afghanistan AV3","93729864134","USD","3000","0.04000","0.00000","0.05000"
,"Afghanistan AV4","93729883054","USD","3000","0.04000","0.00000","0.05000"
,"Afghanistan AV5","93729883793","USD","3000","0.04000","0.00000","0.05000"
,"Afghanistan CT1","93764075030","USD","3000","0.04500","0.00000","0.05000"
,"Afghanistan CT2","93770070740","USD","3000","0.04500","0.00000","0.05000"
,"Afghanistan CT3","93770081950","USD","3000","0.04500","0.00000","0.05000"
,"Afghanistan CT4","93202560328","USD","3000","0.04500","0.00000","0.05000"
,"Afghanistan CT5","93202520851","USD","3000","0.04500","0.00000","0.05000"
,"Afghanistan CT6","93481265352","USD","3000","0.04500","0.00000","0.05000"
,"Afghanistan CT7","93452390317","USD","3000","0.04500","0.00000","0.05000"
,"Afghanistan FT1","93740355660","USD","3000","0.10000","0.00000","0.12000"
,"Afghanistan FT2","93744037630","USD","3000","0.10000","0.00000","0.12000"
,"Afghanistan LT1","93202851993","USD","3000","0.08000","0.00000","0.10000"
,"Afghanistan LT2","93702864798","USD","3000","0.08000","0.00000","0.10000"
,"Afghanistan LT3","93703324919","USD","3000","0.08000","0.00000","0.10000"
,"Afghanistan LT4","93704812951","USD","3000","0.08000","0.00000","0.10000"
,"Afghanistan LT5","93705554908","USD","3000","0.08000","0.00000","0.10000"
,"Afghanistan LT6","93706291801","USD","3000","0.08000","0.00000","0.10000"
,"Afghanistan LT7","93707165981","USD","3000","0.08000","0.00000","0.10000"
,"Afghanistan LT8","93708315942","USD","3000","0.08000","0.00000","0.10000"
,"Afghanistan LT9","93719334924","USD","3000","0.08000","0.00000","0.10000"
,"AGlobSatChile A1","881838912000","USD","100","0.30000","0.00000","0.36000"
,"Albania AV1","355685044306","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV10","355692572964","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV11","355692571155","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV12","355694105992","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV13","35586230614","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV14","35586320618","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV15","35586321619","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV16","35586930619","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV18","35547235904","USD","8000","0.03500","0.00000","0.04500"
,"Albania AV19","35545800703","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV2","355685044310","USD","3000","0.13000","0.00000","0.15500"
